Personeelsnummer,Personeelsnaam,Email-adres,Bedrijfsnaam,Afdeling,Vertrek-Luchthaven,Land-van-oorsprong,Aankomst-Luchthaven,Land-van-aankomst,Methode-van-vervoer,Reason-for-travel,Vertrekdatum,Aankomst-datum
1478362,Anna-Martin,anna.martin@INFRAGoIreland.com,INFRAGoIreland,HR,Heathrow,UK,Schiphol,Netherlands,Flight,Business,2025-03-01,2025-03-01
1983745,Mark-Wilson,mark.wilson@INFRAGoEngland.com,INFRAGoEngland,Finance,Frankfurt-Airport,Germany,Hong-Kong-International,Hong-Kong,Flight,Leisure,2025-04-10,2025-04-12
1728463,Sarah-Jones,sarah.jones@INFRAGoIreland.com,INFRAGoIreland,IT,Changi-Airport,Singapore,Dubai-International,UAE,Flight,Conference,2025-03-22,2025-03-25
1839475,James-Brown,james.brown@INFRAGoEngland.com,INFRAGoEngland,Operations,JFK,USA,Heathrow,UK,Flight,Business,2025-04-05,2025-04-07
1547382,Lucy-Smith,lucy.smith@INFRAGoIreland.com,INFRAGoIreland,HR,Charles-de-Gaulle,France,Los-Angeles-International,USA,Flight,Training,2025-05-15,2025-05-17
1347582,Thomas-Miller,thomas.miller@INFRAGoEngland.com,INFRAGoEngland,Marketing,Schiphol,Netherlands,Tokyo-Narita,Japan,Flight,Leisure,2025-06-01,2025-06-03
1759423,Chris-Taylor,chris.taylor@INFRAGoIreland.com,INFRAGoIreland,Logistics,Los-Angeles-International,USA,Singapore-Changi,Singapore,Flight,Business,2025-05-01,2025-05-05
1427365,Emily-Jackson,emily.jackson@INFRAGoEngland.com,INFRAGoEngland,IT,Dubai-International,UAE,Heathrow,UK,Flight,Vacation,2025-03-18,2025-03-21
1685379,Rachel-Jackon,rachel.anderson@INFRAGoIreland.com,INFRAGoIreland,Marketing,Charles-de-Gaulle,France,Frankfurt-Airport,Germany,Flight,Conference,2025-04-30,2025-05-02
1539482,David-Clark,david.clark@INFRAGoEngland.com,INFRAGoEngland,Operations,Changi-Airport,Singapore,Schiphol,Netherlands,Flight,Training,2025-06-10,2025-06-12
1457623,Peter-Lee,peter.lee@INFRAGoIreland.com,INFRAGoIreland,Finance,Heathrow,UK,JFK,USA,Flight,Business,2025-05-12,2025-05-14
1623489,Laura-Kelly,laura.kelly@INFRAGoEngland.com,INFRAGoEngland,HR,Los-Angeles-International,USA,Tokyo-Narita,Japan,Flight,Leisure,2025-06-20,2025-06-22
1574923,Mark-Davis,mark.davis@INFRAGoIreland.com,INFRAGoIreland,HR,Schiphol,Netherlands,Dubai-International,UAE,Flight,Conference,2025-04-05,2025-04-07
1796321,Jason-Davis,jason.green@INFRAGoEngland.com,INFRAGoEngland,Marketing,Frankfurt-Airport,Germany,Hong-Kong-International,Hong-Kong,Flight,Business,2025-03-01,2025-03-04
1648293,James-Morris,james.morris@INFRAGoIreland.com,INFRAGoIreland,IT,Heathrow,UK,Los-Angeles-International,USA,Flight,Leisure,2025-05-15,2025-05-17
1516392,Sarah-White,sarah.white@INFRAGoEngland.com,INFRAGoEngland,Finance,Schiphol,Netherlands,Dubai-International,UAE,Flight,Training,2025-06-01,2025-06-03
1428367,Lisa-Martin,lisa.martin@INFRAGoIreland.com,INFRAGoIreland,HR,Los-Angeles-International,USA,Frankfurt-Airport,Germany,Flight,Leisure,2025-07-15,2025-07-17
1684923,Robert-Jones,robert.jones@INFRAGoEngland.com,INFRAGoEngland,Operations,Changi-Airport,Singapore,Tokyo-Narita,Japan,Flight,Business,2025-04-18,2025-04-20
1769325,John-Smith,john.smith@INFRAGoIreland.com,INFRAGoIreland,IT,Dubai-International,UAE,Schiphol,Netherlands,Flight,Training,2025-05-25,2025-05-27
1753489,Melissa-Davis,melissa.davis@INFRAGoEngland.com,INFRAGoEngland,Finance,JFK,USA,Charles-de-Gaulle,France,Flight,Vacation,2025-06-10,2025-06-12
1587639,Charles-Miller,charles.miller@INFRAGoIreland.com,INFRAGoIreland,Marketing,Charles-de-Gaulle,France,Los-Angeles-International,USA,Flight,Business,2025-05-03,2025-05-05
1478236,Karen-Wilson,karen.wilson@INFRAGoEngland.com,INFRAGoEngland,Operations,Schiphol,Netherlands,Hong-Kong-International,Hong-Kong,Flight,Conference,2025-06-12,2025-06-15
1765392,Brion-Johnson,brian.johnson@INFRAGoIreland.com,INFRAGoIreland,HR,Heathrow,UK,Los-Angeles-International,USA,Flight,Business,2025-03-30,2025-04-02
1546287,Patricia-Martin,patricia.martin@INFRAGoEngland.com,INFRAGoEngland,Marketing,Changi-Airport,Singapore,Schiphol,Netherlands,Flight,Leisure,2025-06-25,2025-06-27
1487923,Roger-Taylor,roger.taylor@INFRAGoIreland.com,INFRAGoIreland,IT,JFK,USA,Dubai-International,UAE,Flight,Business,2025-07-10,2025-07-12
1428361,Stephanie-Clark,stephanie.clark@INFRAGoEngland.com,INFRAGoEngland,HR,Frankfurt-Airport,Germany,Tokyo-Narita,Japan,Flight,Conference,2025-05-22,2025-05-25
1827394,Kevin-White,kevin.white@INFRAGoIreland.com,INFRAGoIreland,Logistics,Schiphol,Netherlands,Changi-Airport,Singapore,Flight,Training,2025-06-10,2025-06-12
1648297,Amanda-Brown,amanda.brown@INFRAGoEngland.com,INFRAGoEngland,IT,Charles-de-Gaulle,France,Heathrow,UK,Flight,Vacation,2025-06-05,2025-06-07
1486792,Lisa-Smith,lisa.smith@INFRAGoIreland.com,INFRAGoIreland,Finance,Schiphol,Netherlands,Dubai-International,UAE,Flight,Conference,2025-07-12,2025-07-14
1638942,Jennifer-Morris,jennifer.morris@INFRAGoEngland.com,INFRAGoEngland,HR,Hong-Kong-International,Hong-Kong,Los-Angeles-International,USA,Flight,Leisure,2025-06-15,2025-06-18
